atleast, >d, done_percent, <ep, learning_curve, <np, nprod, optimism, pomposity, productivity_exp, productivity_new, r, to, ts, >dom, !klass
..9.88,97.33,..9.99,11.4,10.66..21.69,3.6,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.92,..0.97
..9.88,97.33,..9.99,8.97,10.66..21.69,6.03,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.94,..0.97
..9.88,97.33,..9.99,13.48,10.66..21.69,1.52,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.95,..0.97
..9.88,97.33,..9.99,10.96,10.66..21.69,4.04,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.94,..0.97
..9.88,97.33,..9.99,11.97,10.66..21.69,3.03,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.91,..0.97
..9.88,97.33,..9.99,12.3,10.66..21.69,2.7,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.94,..0.97
..9.88,97.33,..9.99,10.21,10.66..21.69,4.79,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.91,..0.97
..9.88,97.33,..9.99,13.08,10.66..21.69,1.92,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.89,..0.97
..9.88,97.33,..9.99,11.19,10.66..21.69,3.81,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.94,..0.97
..9.88,97.33,..9.99,10.47,10.66..21.69,4.53,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.9,..0.97
..9.88,97.33,..9.99,12.45,10.66..21.69,2.55,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.9,..0.97
..9.88,97.33,..9.99,8.24,10.66..21.69,6.76,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.96,..0.97
..9.88,97.33,..9.99,12.73,10.66..21.69,2.27,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.93,..0.97
..9.88,97.33,..9.99,13.19,10.66..21.69,1.81,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.93,..0.97
..9.88,97.33,..9.99,9.63,10.66..21.69,5.37,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.92,..0.97
..9.88,97.33,..9.99,7.84,10.66..21.69,7.16,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.93,..0.97
..9.88,97.33,..9.99,12.85,10.66..21.69,2.15,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.96,..0.97
..9.88,97.33,..9.99,13.48,10.66..21.69,1.52,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.94,..0.97
..9.88,97.33,..9.99,8.62,10.66..21.69,6.38,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.92,..0.97
..9.88,97.33,..9.99,12.59,10.66..21.69,2.41,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.94,..0.97
..9.88,97.33,..9.99,7.42,10.66..21.69,7.58,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.95,..0.97
..9.88,0.39,..9.99,7,10.66..21.69,8,4.32..8.09,..99.92,26.78..,..2.38,0.9..,189.65..236.03,87.57..98.38,..14,0.3,..0.97
..9.88,97.33,..9.99,12.97,10.66..21.69,2.03,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.96,..0.97
..9.88,97.33,..9.99,11.6,10.66..21.69,3.4,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.92,..0.97
..9.88,97.33,..9.99,9.92,10.66..21.69,5.08,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.96,..0.97
..9.88,97.33,..9.99,9.31,10.66..21.69,5.69,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.95,..0.97
..9.88,97.33,..9.99,13.29,10.66..21.69,1.71,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.94,..0.97
..9.88,97.33,..9.99,10.73,10.66..21.69,4.27,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.91,..0.97
..9.88,97.33,..9.99,13.39,10.66..21.69,1.61,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.95,..0.97
..9.88,97.33,..9.99,12.14,10.66..21.69,2.86,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.96,..0.97
..9.88,97.33,..9.99,11.79,10.66..21.69,3.21,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.93,..0.97
..9.88,34.85,..9.99,4.3,33.61..64.18,15.7,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.26,..0.97
..9.88,0.56,..9.99,4,33.61..64.18,16,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.12,..0.97
..9.88,34.85,..9.99,6.04,33.61..64.18,13.96,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.26,..0.97
..9.88,34.85,..9.99,8.96,33.61..64.18,11.04,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.31,..0.97
..9.88,34.85,..9.99,4.91,33.61..64.18,15.09,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.38,..0.97
..9.88,34.85,..9.99,10.92,33.61..64.18,9.08,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.39,..0.97
..9.88,34.85,..9.99,7.09,33.61..64.18,12.91,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.32,..0.97
..9.88,34.85,..9.99,10.92,33.61..64.18,9.08,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.3,..0.97
..9.88,34.85,..9.99,7.58,33.61..64.18,12.42,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.33,..0.97
..9.88,34.85,..9.99,8.74,33.61..64.18,11.26,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.28,..0.97
..9.88,34.85,..9.99,10.37,33.61..64.18,9.63,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.35,..0.97
..9.88,34.85,..9.99,9.17,33.61..64.18,10.83,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.24,..0.97
..9.88,34.85,..9.99,10.18,33.61..64.18,9.82,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.29,..0.97
..9.88,34.85,..9.99,8.29,33.61..64.18,11.71,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.37,..0.97
..9.88,34.85,..9.99,6.57,33.61..64.18,13.43,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.27,..0.97
..9.88,34.85,..9.99,9.38,33.61..64.18,10.62,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.31,..0.97
..9.88,34.85,..9.99,10.56,33.61..64.18,9.44,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.37,..0.97
..9.88,34.85,..9.99,7.34,33.61..64.18,12.66,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.41,..0.97
..9.88,34.85,..9.99,4.61,33.61..64.18,15.39,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.28,..0.97
..9.88,34.85,..9.99,10.74,33.61..64.18,9.26,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.37,..0.97
..9.88,34.85,..9.99,8.06,33.61..64.18,11.94,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.38,..0.97
..9.88,34.85,..9.99,8.52,33.61..64.18,11.48,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.4,..0.97
..9.88,34.85,..9.99,9.79,33.61..64.18,10.21,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.3,..0.97
..9.88,34.85,..9.99,9.59,33.61..64.18,10.41,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.32,..0.97
..9.88,34.85,..9.99,5.76,33.61..64.18,14.24,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.29,..0.97
..9.88,34.85,..9.99,9.99,33.61..64.18,10.01,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.32,..0.97
..9.88,34.85,..9.99,6.31,33.61..64.18,13.69,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.28,..0.97
..9.88,34.85,..9.99,7.82,33.61..64.18,12.18,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.26,..0.97
..9.88,34.85,..9.99,5.2,33.61..64.18,14.8,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.36,..0.97
..9.88,34.85,..9.99,5.48,33.61..64.18,14.52,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.26,..0.97
..9.88,34.85,..9.99,6.83,33.61..64.18,13.17,..1.65,..99.92,..9.54,..2.38,0.9..,236.03..817.08,63.4..87.12,..14,0.29,..0.97
..9.88,0.63,..9.99,7,10.66..21.69,21,1.66..2.4,..99.92,26.78..,2.38..,0.9..,822.37..,27.53..36.85,..14,0.03,..0.97
..9.88,100,..9.99,8.46,10.66..21.69,19.54,1.66..2.4,..99.92,26.78..,2.38..,0.9..,236.03..817.08,27.53..36.85,..14,0.78,..0.97
..9.88,0.57,..9.99,3,77.07..,14,4.32..8.09,..99.92,26.78..,2.38..,0.52..0.66,..184.92,63.4..87.12,..14,0.21,..0.97
..9.88,100,..9.99,3.18,77.07..,13.82,4.32..8.09,..99.92,26.78..,2.38..,0.52..0.66,..184.92,63.4..87.12,..14,0.87,..0.97
..9.88,0.91,..9.99,9,77.07..,10,4.32..8.09,..99.92,22.13..26.78,2.38..,0.8..0.89,236.03..817.08,10.82..27.53,..14,0.19,..0.97
..9.88,100,..9.99,9.11,77.07..,9.89,4.32..8.09,..99.92,22.13..26.78,2.38..,0.8..0.89,236.03..817.08,10.82..27.53,..14,0.93,..0.97
..9.88,24.98,..9.99,2.51,21.75..24,2.49,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.67,..0.97
..9.88,0.3,..9.99,1,21.75..24,4,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.43,..0.97
..9.88,24.98,..9.99,1.68,21.75..24,3.32,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.68,..0.97
..9.88,24.98,..9.99,1.35,21.75..24,3.65,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.74,..0.97
..9.88,24.98,..9.99,3.89,21.75..24,1.11,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.7,..0.97
..9.88,24.98,..9.99,1.84,21.75..24,3.16,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.61,..0.97
..9.88,24.98,..9.99,2.26,21.75..24,2.74,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.64,..0.97
..9.88,24.98,..9.99,3.65,21.75..24,1.35,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.73,..0.97
..9.88,24.98,..9.99,2.73,21.75..24,2.27,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.71,..0.97
..9.88,24.98,..9.99,3.52,21.75..24,1.48,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.67,..0.97
..9.88,24.98,..9.99,3.12,21.75..24,1.88,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.78,..0.97
..9.88,24.98,..9.99,3.21,21.75..24,1.79,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.65,..0.97
..9.88,24.98,..9.99,2.84,21.75..24,2.16,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.75,..0.97
..9.88,24.98,..9.99,3.78,21.75..24,1.22,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.76,..0.97
..9.88,24.98,..9.99,1.98,21.75..24,3.02,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.72,..0.97
..9.88,24.98,..9.99,3.94,21.75..24,1.06,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.72,..0.97
..9.88,24.98,..9.99,3.37,21.75..24,1.63,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.71,..0.97
..9.88,24.98,..9.99,2.38,21.75..24,2.62,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.77,..0.97
..9.88,24.98,..9.99,3.99,21.75..24,1.01,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.72,..0.97
..9.88,24.98,..9.99,3.59,21.75..24,1.41,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.8,..0.97
..9.88,24.98,..9.99,3.99,21.75..24,1.01,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.71,..0.97
..9.88,24.98,..9.99,3.45,21.75..24,1.55,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.71,..0.97
..9.88,24.98,..9.99,1.52,21.75..24,3.48,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.78,..0.97
..9.88,24.98,..9.99,1.18,21.75..24,3.82,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.7,..0.97
..9.88,24.98,..9.99,3.72,21.75..24,1.28,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.6,..0.97
..9.88,24.98,..9.99,2.62,21.75..24,2.38,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.69,..0.97
..9.88,24.98,..9.99,2.12,21.75..24,2.88,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.79,..0.97
..9.88,24.98,..9.99,2.94,21.75..24,2.06,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.69,..0.97
..9.88,24.98,..9.99,3.83,21.75..24,1.17,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.71,..0.97
..9.88,24.98,..9.99,3.03,21.75..24,1.97,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.71,..0.97
..9.88,24.98,..9.99,3.29,21.75..24,1.71,2.4..4.27,..99.92,26.78..,2.38..,0.43..0.52,822.37..,47.82..63.02,..14,0.71,..0.97
..9.88,15.36,..9.99,18.85,10.66..21.69,1.15,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.27,..0.97
..9.88,15.36,..9.99,18.21,10.66..21.69,1.79,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.25,..0.97
..9.88,15.36,..9.99,9.51,10.66..21.69,10.49,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.23,..0.97
..9.88,15.36,..9.99,19.26,10.66..21.69,0.74,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.27,..0.97
..9.88,15.36,..9.99,19.08,10.66..21.69,0.92,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.24,..0.97
..9.88,15.36,..9.99,17.22,10.66..21.69,2.78,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.18,..0.97
..9.88,15.36,..9.99,6.91,10.66..21.69,13.09,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.28,..0.97
..9.88,15.36,..9.99,18.01,10.66..21.69,1.99,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.24,..0.97
..9.88,15.36,..9.99,15.67,10.66..21.69,4.33,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.23,..0.97
..9.88,15.36,..9.99,18.97,10.66..21.69,1.03,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.27,..0.97
..9.88,15.36,..9.99,8.28,10.66..21.69,11.72,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.2,..0.97
..9.88,15.36,..9.99,11.59,10.66..21.69,8.41,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.18,..0.97
..9.88,15.36,..9.99,18.72,10.66..21.69,1.28,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.2,..0.97
..9.88,15.36,..9.99,17.51,10.66..21.69,2.49,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.16,..0.97
..9.88,15.36,..9.99,13.26,10.66..21.69,6.74,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.22,..0.97
..9.88,15.36,..9.99,5.38,10.66..21.69,14.62,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.25,..0.97
..9.88,15.36,..9.99,14.6,10.66..21.69,5.4,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.27,..0.97
..9.88,15.36,..9.99,17.77,10.66..21.69,2.23,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.26,..0.97
..9.88,15.36,..9.99,12.47,10.66..21.69,7.53,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.18,..0.97
..9.88,15.36,..9.99,16.53,..10.66,3.47,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.21,..0.97
..9.88,15.36,..9.99,18.57,10.66..21.69,1.43,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.28,..0.97
..9.88,15.36,..9.99,16.13,10.66..21.69,3.87,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.17,..0.97
..9.88,15.36,..9.99,3.69,10.66..21.69,16.31,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.21,..0.97
..9.88,0.93,..9.99,2,10.66..21.69,18,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.09,..0.97
..9.88,15.36,..9.99,13.97,10.66..21.69,6.03,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.17,..0.97
..9.88,15.36,..9.99,18.4,10.66..21.69,1.6,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.21,..0.97
..9.88,15.36,..9.99,15.17,10.66..21.69,4.83,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.23,..0.97
..9.88,15.36,..9.99,10.61,10.66..21.69,9.39,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.22,..0.97
..9.88,15.36,..9.99,19.18,10.66..21.69,0.82,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.17,..0.97
..9.88,15.36,..9.99,19.26,10.66..21.69,0.74,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.2,..0.97
..9.88,15.36,..9.99,16.89,10.66..21.69,3.11,1.66..2.4,..99.92,26.78..,2.38..,..0.25,822.37..,63.4..87.12,..14,0.19,..0.97
..9.88,100,..9.99,8.31,77.07..,23.69,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,..184.92,98.38..,..14,0.55,..0.97
..9.88,0.76,..9.99,8,77.07..,24,2.4..4.27,..99.92,26.78..,2.38..,0.25..0.41,..184.92,98.38..,..14,0,..0.97
..9.88,0.87,..9.99,1,10.66..21.69,15,4.32..8.09,..99.92,26.78..,2.38..,0.25..0.41,236.03..817.08,63.4..87.12,..14,0.13,..0.97
..9.88,100,..9.99,2.24,10.66..21.69,13.76,4.32..8.09,..99.92,26.78..,2.38..,0.25..0.41,236.03..817.08,63.4..87.12,..14,0.91,..0.97
..9.88,100,..9.99,7.9,..10.66,16.1,4.32..8.09,..99.92,26.78..,2.38..,0.8..0.89,..184.92,87.57..98.38,..14,0.9,..0.97
..9.88,0.72,..9.99,5,..10.66,19,4.32..8.09,..99.92,26.78..,2.38..,0.8..0.89,236.03..817.08,87.57..98.38,..14,0.03,..0.97
..9.88,0.28,..9.99,7,33.61..64.18,16,2.4..4.27,..99.92,26.78..,2.38..,0.8..0.89,236.03..817.08,10.82..27.53,..14,0.11,..0.97
..9.88,100,..9.99,7.31,33.61..64.18,15.69,2.4..4.27,..99.92,26.78..,2.38..,0.8..0.89,236.03..817.08,..10.82,..14,0.83,..0.97
..9.88,0.31,..9.99,7,77.07..,3,8.09..8.86,..99.92,26.78..,2.38..,..0.25,236.03..817.08,47.82..63.02,..14,0.34,..0.97
..9.88,100,..9.99,7.03,77.07..,2.97,8.09..8.86,..99.92,26.78..,2.38..,..0.25,236.03..817.08,47.82..63.02,..14,0.94,..0.97
..9.88,0.04,..9.99,10,77.07..,6,4.32..8.09,..99.92,26.78..,..2.38,0.9..,236.03..817.08,27.53..36.85,..14,0.11,..0.97
..9.88,100,..9.99,10.07,77.07..,5.93,4.32..8.09,..99.92,26.78..,..2.38,0.9..,236.03..817.08,27.53..36.85,..14,0.92,..0.97
..9.88,34.62,..9.99,7.84,77.07..,19.16,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.21,..0.97
..9.88,34.62,..9.99,8.27,77.07..,18.73,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.17,..0.97
..9.88,34.62,..9.99,8.27,77.07..,18.73,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.17,..0.97
..9.88,34.62,..9.99,3.78,77.07..,23.22,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.15,..0.97
..9.88,34.62,..9.99,1.86,77.07..,25.14,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.17,..0.97
..9.88,34.62,..9.99,5.05,77.07..,21.95,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.2,..0.97
..9.88,34.62,..9.99,6.26,77.07..,20.74,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.17,..0.97
..9.88,0.33,..9.99,1,77.07..,26,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.03,..0.97
..9.88,34.62,..9.99,3.25,77.07..,23.75,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.23,..0.97
..9.88,34.62,..9.99,7.62,77.07..,19.38,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.19,..0.97
..9.88,34.62,..9.99,5.3,77.07..,21.7,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.19,..0.97
..9.88,34.62,..9.99,6.02,77.07..,20.98,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.17,..0.97
..9.88,34.62,..9.99,2.43,77.07..,24.57,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.12,..0.97
..9.88,34.62,..9.99,8.05,77.07..,18.95,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.19,..0.97
..9.88,34.62,..9.99,6.49,77.07..,20.51,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.18,..0.97
..9.88,34.62,..9.99,2.98,77.07..,24.02,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.16,..0.97
..9.88,34.62,..9.99,4.04,77.07..,22.96,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.15,..0.97
..9.88,34.62,..9.99,7.18,77.07..,19.82,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.22,..0.97
..9.88,34.62,..9.99,2.15,77.07..,24.85,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.13,..0.97
..9.88,34.62,..9.99,2.7,77.07..,24.3,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.13,..0.97
..9.88,34.62,..9.99,7.4,77.07..,19.6,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.21,..0.97
..9.88,34.62,..9.99,3.51,77.07..,23.49,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.15,..0.97
..9.88,34.62,..9.99,4.55,77.07..,22.45,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.15,..0.97
..9.88,34.62,..9.99,4.8,77.07..,22.2,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.15,..0.97
..9.88,34.62,..9.99,1.29,77.07..,25.71,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.13,..0.97
..9.88,34.62,..9.99,5.54,77.07..,21.46,..1.65,..99.92,26.78..,2.38..,0.66..0.79,236.03..817.08,10.82..27.53,..14,0.15,..0.97
