atleast, >d, done_percent, <ep, learning_curve, <np, nprod, optimism, pomposity, productivity_exp, productivity_new, r, to, ts, >dom, !klass
..9.88,6.23,..9.99,10.82,33.61..64.18,20.18,..1.65,..99.92,26.78..,..2.38,..0.25,236.03..817.08,63.4..87.12,88.54..,0.01,..0.97
..9.88,6.23,..9.99,17.57,33.61..64.18,13.43,..1.65,..99.92,26.78..,..2.38,..0.25,236.03..817.08,63.4..87.12,88.54..,0.02,..0.97
..9.88,6.23,..9.99,6.52,33.61..64.18,24.48,..1.65,..99.92,26.78..,..2.38,..0.25,236.03..817.08,63.4..87.12,88.54..,0.01,..0.97
..9.88,6.23,..9.99,11.66,33.61..64.18,19.34,..1.65,..99.92,26.78..,..2.38,..0.25,236.03..817.08,63.4..87.12,88.54..,0.01,..0.97
..9.88,6.23,..9.99,15.73,33.61..64.18,15.27,..1.65,..99.92,26.78..,..2.38,..0.25,236.03..817.08,63.4..87.12,88.54..,0.02,..0.97
..9.88,6.23,..9.99,15.06,33.61..64.18,15.94,..1.65,..99.92,26.78..,..2.38,..0.25,236.03..817.08,63.4..87.12,88.54..,0.02,..0.97
..9.88,6.23,..9.99,15.4,33.61..64.18,15.6,..1.65,..99.92,26.78..,..2.38,..0.25,236.03..817.08,63.4..87.12,88.54..,0.02,..0.97
..9.88,6.23,..9.99,11.25,33.61..64.18,19.75,..1.65,..99.92,26.78..,..2.38,..0.25,236.03..817.08,63.4..87.12,88.54..,0.03,..0.97
..9.88,6.23,..9.99,7.55,33.61..64.18,23.45,..1.65,..99.92,26.78..,..2.38,..0.25,236.03..817.08,63.4..87.12,88.54..,0.01,..0.97
..9.88,6.23,..9.99,9.48,33.61..64.18,21.52,..1.65,..99.92,26.78..,..2.38,..0.25,236.03..817.08,63.4..87.12,88.54..,0.02,..0.97
..9.88,6.23,..9.99,16.37,33.61..64.18,14.63,..1.65,..99.92,26.78..,..2.38,..0.25,236.03..817.08,63.4..87.12,88.54..,0.03,..0.97
..9.88,6.23,..9.99,17.28,33.61..64.18,13.72,..1.65,..99.92,26.78..,..2.38,..0.25,236.03..817.08,63.4..87.12,88.54..,0.04,..0.97
..9.88,6.23,..9.99,10.38,33.61..64.18,20.62,..1.65,..99.92,26.78..,..2.38,..0.25,236.03..817.08,63.4..87.12,88.54..,0,..0.97
..9.88,6.23,..9.99,9.93,33.61..64.18,21.07,..1.65,..99.92,26.78..,..2.38,..0.25,236.03..817.08,63.4..87.12,88.54..,0.01,..0.97
..9.88,6.23,..9.99,13.25,33.61..64.18,17.75,..1.65,..99.92,26.78..,..2.38,..0.25,236.03..817.08,63.4..87.12,88.54..,0.01,..0.97
